"","C","gene"
"FNDC1","1","FNDC1"
"CACNG8","3","CACNG8"
"ENSG00000259495","1","ENSG00000259495"
"SGCD","2","SGCD"
"ENSG00000157306","4","ENSG00000157306"
"ENSG00000204959","1","ENSG00000204959"
"LINC00893","4","LINC00893"
"LZTS1","2","LZTS1"
"PSG1","2","PSG1"
"IL1RAPL1","3","IL1RAPL1"
"SEMA3B","1","SEMA3B"
"TPTEP1","2","TPTEP1"
"ENSG00000189229","2","ENSG00000189229"
"DIRAS3","1","DIRAS3"
"LRRIQ1","4","LRRIQ1"
"ENSG00000280143","1","ENSG00000280143"
"GATA3","2","GATA3"
"TNFRSF11B","3","TNFRSF11B"
"KCNAB1","4","KCNAB1"
"ENSG00000279838","4","ENSG00000279838"
"ENSG00000239828","2","ENSG00000239828"
"CMKLR1","2","CMKLR1"
"VNN1","3","VNN1"
"KIAA0895","4","KIAA0895"
"HCLS1","1","HCLS1"
"GABRA3","1","GABRA3"
"LINC00954","1","LINC00954"
"HGD","3","HGD"
"ART5","1","ART5"
"YPEL4","1","YPEL4"
"LONRF2","4","LONRF2"
"POLR2J2","4","POLR2J2"
"LIPG","3","LIPG"
"ENSG00000257178","4","ENSG00000257178"
"TSPOAP1","1","TSPOAP1"
"ENSG00000225465","1","ENSG00000225465"
"GNA14","1","GNA14"
"RAVER2","1","RAVER2"
"PRDM16","2","PRDM16"
"TMEM52B","1","TMEM52B"
"MAGEL2","4","MAGEL2"
"ENSG00000261560","4","ENSG00000261560"
"MYRF","1","MYRF"
"RASD2","1","RASD2"
"ZNF542P","1","ZNF542P"
"FZD3","1","FZD3"
"ENSG00000272168","1","ENSG00000272168"
"MIR99AHG","1","MIR99AHG"
"FAIM2","4","FAIM2"
"CNKSR2","2","CNKSR2"
"NEAT1","4","NEAT1"
"ADD2","4","ADD2"
"FAM13C","1","FAM13C"
"ROS1","4","ROS1"
"BMPR1B","2","BMPR1B"
"PCDHGB4","3","PCDHGB4"
"MASP1","3","MASP1"
"RNU6-301P","4","RNU6-301P"
"RPL13AP12","4","RPL13AP12"
"COL8A1","2","COL8A1"
"MPZL3","4","MPZL3"
"LPAR6","4","LPAR6"
"CDH10","3","CDH10"
"ZNF681","2","ZNF681"
"ENSG00000278949","4","ENSG00000278949"
"ENSG00000213025","4","ENSG00000213025"
"ENSG00000228107","4","ENSG00000228107"
"FAM149A","1","FAM149A"
"GPR63","2","GPR63"
"TMEFF2","4","TMEFF2"
"ANKRD6","4","ANKRD6"
"FGL2","2","FGL2"
"P2RX7","2","P2RX7"
"COX7A1","1","COX7A1"
"CGREF1","4","CGREF1"
"HSPA12A","2","HSPA12A"
"ENSG00000180458","1","ENSG00000180458"
"TMTC2","2","TMTC2"
"SEMA6B","4","SEMA6B"
"SPAG17","4","SPAG17"
"KLHL23","2","KLHL23"
"VCAM1","4","VCAM1"
"NCKAP5-AS2","2","NCKAP5-AS2"
"CLMN","1","CLMN"
"IL17RD","4","IL17RD"
"ENSG00000235513","1","ENSG00000235513"
"DAB1","3","DAB1"
"OLR1","2","OLR1"
"ZNF311","1","ZNF311"
"AGT","1","AGT"
"SLC25A27","1","SLC25A27"
"GAS1","2","GAS1"
"PLPPR3","1","PLPPR3"
"MEIOB","1","MEIOB"
"ZNF439","1","ZNF439"
"PKIB","4","PKIB"
"ADGRL4","3","ADGRL4"
"CRISPLD1","4","CRISPLD1"
"CADPS","4","CADPS"
"TACSTD2","1","TACSTD2"
"EPB41","2","EPB41"
"CERS4","1","CERS4"
"XKR5","2","XKR5"
"PARM1","4","PARM1"
"SRGN","3","SRGN"
"NAP1L2","4","NAP1L2"
"CTSF","1","CTSF"
"PRELP","1","PRELP"
"DDX10P1","4","DDX10P1"
"ROR2","3","ROR2"
"GALNT13","4","GALNT13"
"CNTNAP3B","4","CNTNAP3B"
"AADAC","3","AADAC"
"DKK2","2","DKK2"
"PODXL","3","PODXL"
"TENT5C","2","TENT5C"
"EYA2","1","EYA2"
"DSG2","3","DSG2"
"ENSG00000256006","4","ENSG00000256006"
"GCNT2","3","GCNT2"
"ENSG00000279266","4","ENSG00000279266"
"CPZ","1","CPZ"
"SYNPO2L","4","SYNPO2L"
